ref,boot
1629,1203
230,164
1532,1215
1049,995
318,224
1746,1156
-1,690
1238,-1
1679,-1
527,471
1377,1018
1030,635
452,672
1222,800
849,927
1225,874
-1,440
205,19
71,106
261,120
1539,1133
495,466
-1,-1
1368,1007
786,-1
13,38
1487,-1
-1,5
878,491
-1,1267
1483,750
831,515
416,436
409,494
1279,955
866,717
1584,-1
640,426
775,585
194,185
1357,876
508,305
1479,1085
1453,1185
-1,-1
642,505
310,173
1677,1087
-1,1199
1446,1099
-1,-1
696,845
-1,-1
961,618
507,305
1354,983
316,208
-1,-1
1001,960
1253,985
672,543
709,377
1674,1179
356,271
855,795
291,176
1357,876
636,356
238,55
662,853
886,665
1282,901
317,241
80,115
1097,984
491,612
-1,-1
218,133
1744,1266
-1,-1
-1,512
1515,1166
354,227
777,623
1324,980
1732,1311
368,266
1603,1059
949,936
734,548
1537,1142
423,362
-1,-1
696,845
667,502
1789,1299
1411,1051
1201,744
690,431
-1,-1
934,559
1738,1131
-1,-1
1260,831
1481,887
-1,-1
1372,941
768,892
163,75
1043,530
168,79
-1,-1
-1,1214
645,826
189,-1
1713,1246
227,12
392,289
1591,1248
-1,-1
1582,1186
-1,-1
1117,896
-1,10
-1,-1
924,666
277,191
348,255
1009,730
441,575
1497,1236
529,365
-1,-1
1532,1215
20,18
481,395
705,626
772,757
1565,1119
-1,631
1169,-1
765,869
-1,-1
1338,1003
74,61
-1,-1
1373,-1
1091,406
587,312
483,753
-1,641
107,67
715,404
-1,-1
171,99
1352,-1
593,439
109,170
1105,663
-1,-1
389,290
735,610
1481,887
1797,1321
728,863
1534,1150
604,296
553,476
385,287
480,394
-1,817
1692,1190
1241,873
-1,-1
963,538
1636,1138
1555,1188
829,636
1320,841
1170,-1
-1,-1
1091,406
557,719
845,959
268,145
-1,219
1467,1066
1506,1060
509,646
1015,840
-1,-1
1675,1139
408,435
131,181
1137,809
-1,-1
-1,106
438,535
12,-1
1809,1305
427,343
54,37
547,444
1743,1264
-1,-1
1403,1047
883,425
686,353
1608,888
502,446
1587,-1
924,666
778,-1
926,596
-1,-1
-1,-1
-1,799
636,356
535,396
1195,685
1101,749
525,374
1592,-1
1247,765
1359,1038
1222,800
663,-1
1168,823
634,413
1755,1242
743,604
1758,1182
543,-1
1480,1086
1130,810
902,-1
-1,1113
1169,824
-1,-1
1601,1117
118,69
701,620
1404,1044
1682,1214
-1,-1
645,826
903,934
401,-1
1814,1233
-1,18
-1,550
-1,-1
456,358
546,470
418,533
1075,780
-1,-1
1510,1255
1011,655
732,734
1296,878
1814,1233
1069,682
1576,1254
-1,-1
447,324
1007,728
1056,956
1728,1043
623,555
359,278
522,418
1335,858
983,567
1720,1171
-1,333
88,50
1549,962
1728,1043
500,387
-1,-1
1037,706
376,303
1199,770
1608,888
1391,1029
896,557
-1,389
834,405
104,178
1735,1309
1359,1038
-1,-1
703,503
-1,-1
1589,1230
88,50
-1,-1
-1,-1
32,60
88,50
871,606
731,544
503,393
707,493
450,-1
392,289
1772,1300
1595,1290
1704,1208
1593,1201
1152,481
1139,807
1621,1137
-1,-1
190,41
208,116
1306,-1
482,397
649,540
-1,-1
-1,-1
861,798
742,638
410,495
1570,964
1720,1171
-1,-1
140,109
1073,669
21,32
946,883
673,543
-1,-1
1777,1270
712,549
1748,1286
-1,1127
1137,809
439,434
1370,992
304,199
-1,-1
1681,-1
195,193
427,343
1456,1212
89,48
852,500
122,62
593,439
1454,1184
491,612
826,602
-1,69
643,645
1568,1056
359,279
-1,110
510,648
506,-1
1474,1210
1542,1123
782,571
220,144
24,22
31,27
-1,10
-1,472
258,43
-1,-1
146,182
1621,1137
1814,1233
843,852
989,512
934,559
1072,588
1288,599
1296,878
-1,-1
1016,735
1480,1086
1164,900
957,970
-1,1105
-1,1093
441,576
-1,266
450,-1
1162,952
488,534
1051,960
121,-1
-1,-1
1516,-1
96,108
1499,1261
-1,-1
720,813
110,171
298,231
-1,-1
894,558
-1,396
1793,1318
619,627
1647,1272
563,373
203,179
-1,1186
1483,750
-1,-1
711,483
1390,-1
872,713
1796,1304
932,-1
1002,920
95,130
532,-1
-1,409
1232,928
260,137
1103,771
-1,-1
570,422
490,-1
-1,-1
808,815
1479,1085
607,791
-1,-1
-1,-1
62,32
341,240
472,361
1459,1143
983,567
-1,-1
1016,735
1419,1055
876,522
1680,1196
710,368
473,-1
359,278
1198,709
1270,784
-1,-1
399,372
284,232
1084,456
697,845
771,651
1176,743
126,52
29,10
1191,982
944,526
910,699
1063,729
-1,-1
-1,-1
1,1
939,847
-1,-1
-1,498
1685,1088
179,116
135,117
993,660
1088,511
675,683
1026,376
1215,972
1153,691
483,753
587,312
897,557
-1,-1
713,658
397,302
-1,-1
1144,693
1209,702
1352,1012
1069,682
278,221
1515,1166
1154,690
1197,710
-1,-1
1478,1084
-1,116
876,522
407,433
649,-1
410,495
-1,-1
-1,-1
558,329
273,263
-1,1069
1511,1107
382,311
1157,974
1427,1081
1372,941
1775,1279
1450,1108
99,97
85,88
-1,-1
-1,-1
219,134
471,360
906,819
-1,-1
53,44
346,267
977,746
808,815
1427,1081
280,-1
484,573
17,31
783,667
1060,854
1315,-1
785,714
-1,-1
-1,-1
599,-1
1635,1176
1272,976
-1,451
209,135
237,54
105,188
98,51
849,927
366,282
441,576
-1,-1
543,-1
1667,1173
206,20
1364,1019
1419,1055
866,717
-1,-1
-1,-1
476,326
1,1
148,203
854,538
1485,1165
1250,451
685,336
1399,-1
1174,768
706,637
333,259
81,86
1570,964
96,108
607,791
-1,-1
1181,865
176,15
1558,1249
342,257
391,315
525,374
295,140
-1,-1
1243,600
1110,763
1711,1135
864,697
-1,-1
-1,-1
-1,1070
-1,1105
797,597
-1,837
1456,1212
-1,1165
1515,1166
-1,-1
1442,1094
910,699
1600,1101
622,472
397,302
530,346
282,100
37,35
1261,821
-1,-1
251,197
572,475
1773,1298
918,378
-1,-1
762,827
275,-1
1411,1051
839,789
115,56
1778,1271
570,422
-1,-1
-1,-1
919,520
142,180
42,9
293,166
1234,-1
459,507
1129,644
1481,887
1452,1187
188,156
959,856
-1,-1
-1,-1
1018,641
694,-1
1228,806
1699,1293
882,379
1028,485
451,574
1015,840
1645,1278
965,760
1299,-1
1,1
1258,902
798,480
1648,1272
-1,-1
-1,11
228,47
1189,891
-1,-1
-1,-1
-1,111
470,334
1253,985
-1,99
-1,928
692,838
-1,-1
884,424
1029,-1
-1,-1
1790,1294
-1,-1
1626,1263
530,346
-1,-1
-1,-1
748,519
1734,-1
-1,-1
19,18
287,268
855,795
-1,-1
1250,451
935,630
-1,-1
1439,834
566,391
787,639
1354,983
1777,1270
534,396
431,366
839,789
1749,1146
1129,644
1528,940
-1,-1
1331,989
-1,-1
1353,1014
956,971
368,266
-1,-1
-1,-1
246,200
1147,740
1537,1142
-1,-1
452,672
869,-1
520,385
1602,-1
124,65
-1,1043
1344,998
1376,1025
-1,-1
1624,1079
-1,-1
-1,-1
1635,1176
-1,-1
1655,-1
1164,900
130,85
883,425
-1,-1
618,448
645,826
1416,-1
992,736
-1,-1
421,536
1812,1206
240,138
1616,1250
1100,785
1397,967
299,231
495,466
751,629
154,123
856,705
1814,1233
520,-1
1149,513
1622,1141
734,548
1249,738
545,416
331,284
-1,-1
538,794
-1,928
939,847
740,-1
1106,708
960,857
-1,-1
498,360
-1,505
356,271
-1,-1
312,260
-1,1241
1028,485
1524,1091
1758,1182
-1,846
1281,977
978,455
27,17
363,266
1317,924
-1,7
-1,18
1370,992
1591,1248
653,428
348,255
-1,1220
-1,-1
135,117
-1,-1
1395,966
0,0
1115,894
881,380
773,758
-1,-1
823,687
482,397
351,257
1505,1069
-1,434
492,612
374,294
1131,811
133,106
-1,4
-1,615
-1,148
1159,1001
-1,32
610,322
778,587
256,262
1068,681
-1,139
-1,-1
1110,739
1754,-1
-1,-1
624,556
1608,888
1135,885
1374,1006
1246,803
1303,1036
200,24
956,971
1750,1146
184,101
1029,484
1,1
1472,1165
1461,1057
475,325
1160,1022
1237,907
955,909
-1,1313
55,90
1270,783
465,498
441,576
79,94
1384,1041
1717,1280
-1,617
325,220
1611,1257
737,609
1206,916
1243,600
225,152
494,349
368,266
1807,1312
254,161
975,774
-1,-1
1121,987
293,165
-1,405
1812,1206
522,418
1560,1199
1770,1126
1570,965
827,487
1792,1318
1670,1269
136,118
-1,-1
96,108
413,298
58,59
78,93
275,145
665,411
1600,1101
1199,770
-1,928
1782,1267
942,-1
-1,-1
962,538
1397,967
-1,-1
1614,1253
1640,1167
139,146
561,469
176,15
1749,1164
1137,809
1171,830
709,377
1693,1191
1653,1234
772,757
-1,-1
1643,1284
508,305
-1,1005
-1,743
-1,486
386,287
644,645
185,102
1296,878
228,47
560,442
1306,-1
-1,-1
588,673
157,167
370,291
901,927
723,528
150,82
1025,488
1470,1149
623,555
646,754
1187,1010
1006,797
194,185
248,244
-1,739
-1,-1
1494,825
973,548
1067,680
927,565
1133,884
1327,1034
609,786
190,41
1371,1030
84,87
167,-1
1490,1168
1098,671
1671,1243
-1,-1
1563,1226
-1,10
1484,1065
1418,-1
924,666
826,603
292,149
533,474
1426,1082
-1,4
1407,1049
195,193
1606,1050
-1,356
-1,-1
1129,644
346,267
-1,1001
-1,-1
937,407
389,290
1008,731
375,295
416,436
921,399
765,869
72,77
151,-1
599,590
1115,894
285,154
1549,962
408,435
294,-1
1600,1101
-1,-1
1715,1071
1159,1001
959,856
368,266
1273,978
76,64
-1,-1
765,869
956,971
1178,867
962,538
216,234
410,495
101,-1
690,-1
-1,-1
467,718
1423,1106
1756,1180
-1,230
446,496
1789,1299
134,106
525,374
409,494
1618,-1
-1,-1
292,149
823,687
1614,1253
1702,1177
416,436
288,264
348,255
1796,1304
521,417
1695,-1
1650,1302
1247,765
1705,1078
1772,1300
40,21
425,341
1562,1275
1024,489
1349,877
551,473
182,174
439,434
276,191
1147,740
28,10
324,-1
-1,1267
1554,-1
-1,173
1607,1080
867,773
1784,1315
-1,-1
-1,1225
-1,105
-1,-1
418,533
1252,986
1069,682
1049,995
543,843
75,63
263,110
909,625
89,48
27,17
932,-1
862,611
427,343
633,383
914,712
-1,312
1582,1186
-1,-1
589,337
353,227
-1,-1
522,418
-1,1148
-1,-1
-1,-1
154,123
-1,-1
883,425
-1,-1
1501,1162
-1,888
871,606
1099,670
1209,702
243,209
393,292
-1,-1
-1,-1
1265,955
1672,1160
1522,1120
248,244
395,285
1037,706
535,396
1761,1157
1610,-1
221,143
957,970
92,98
600,591
245,155
297,246
295,140
178,204
563,373
1145,-1
1082,775
-1,1117
906,819
682,508
203,179
1565,1119
-1,327
-1,827
1812,1206
1378,999
378,280
359,278
-1,-1
873,401
1176,743
572,475
442,-1
-1,-1
8,30
-1,-1
1546,1125
960,857
1489,1070
1094,572
1668,-1
931,482
1405,1045
510,648
832,-1
624,556
1362,1027
303,195
1484,1065
-1,-1
1673,1178
907,676
1206,916
736,-1
57,46
1737,1274
-1,300
1771,1301
-1,-1
-1,-1
1788,1299
-1,-1
1256,889
858,678
771,-1
538,-1
-1,-1
1772,1300
