plane_id,n_sats,n_clusters,cluster_ids,max_cluster_sats,max_cluster_frac
67,37,6,"[np.int64(1607), np.int64(1623), np.int64(1624), np.int64(1689), np.int64(1706), np.int64(1707)]",8,0.21621621621621623
60,32,5,"[np.int64(1476), np.int64(1478), np.int64(1620), np.int64(1634), np.int64(1635)]",10,0.3125
3,31,4,"[np.int64(399), np.int64(439), np.int64(440), np.int64(555)]",15,0.4838709677419355
58,30,7,"[np.int64(1565), np.int64(1601), np.int64(1618), np.int64(1652), np.int64(1684), np.int64(1692), np.int64(1693)]",6,0.2
57,30,5,"[np.int64(1652), np.int64(1667), np.int64(1683), np.int64(1739), np.int64(1740)]",13,0.43333333333333335
1,28,5,"[np.int64(421), np.int64(443), np.int64(444), np.int64(465), np.int64(466)]",9,0.32142857142857145
63,28,5,"[np.int64(1567), np.int64(1583), np.int64(1622), np.int64(1675), np.int64(1676)]",9,0.32142857142857145
43,27,8,"[np.int64(1531), np.int64(1615), np.int64(1616), np.int64(1617), np.int64(1648), np.int64(1710), np.int64(1730), np.int64(1731)]",5,0.18518518518518517
65,27,6,"[np.int64(1524), np.int64(1525), np.int64(1586), np.int64(1657), np.int64(1687), np.int64(1688)]",10,0.37037037037037035
59,26,5,"[np.int64(1523), np.int64(1619), np.int64(1653), np.int64(1654), np.int64(1669)]",6,0.23076923076923078
44,26,4,"[np.int64(1515), np.int64(1558), np.int64(1647), np.int64(1648)]",10,0.38461538461538464
22,26,7,"[np.int64(849), np.int64(1056), np.int64(1057), np.int64(1097), np.int64(1125), np.int64(1186), np.int64(1187)]",5,0.19230769230769232
49,25,6,"[np.int64(1425), np.int64(1457), np.int64(1473), np.int64(1474), np.int64(1498), np.int64(1499)]",8,0.32
11,25,8,"[np.int64(692), np.int64(724), np.int64(762), np.int64(763), np.int64(813), np.int64(999), np.int64(1156), np.int64(1231)]",7,0.28
42,25,6,"[np.int64(1434), np.int64(1442), np.int64(1513), np.int64(1530), np.int64(1577), np.int64(1578)]",7,0.28
56,24,7,"[np.int64(1718), np.int64(1719), np.int64(1738), np.int64(1739), np.int64(1746), np.int64(1761), np.int64(1762)]",5,0.20833333333333334
9,24,6,"[np.int64(607), np.int64(608), np.int64(845), np.int64(949), np.int64(1001), np.int64(1050)]",8,0.3333333333333333
62,24,6,"[np.int64(1488), np.int64(1504), np.int64(1505), np.int64(1544), np.int64(1673), np.int64(1674)]",6,0.25
14,23,6,"[np.int64(574), np.int64(718), np.int64(836), np.int64(938), np.int64(940), np.int64(941)]",6,0.2608695652173913
4,23,5,"[np.int64(418), np.int64(538), np.int64(539), np.int64(575), np.int64(576)]",9,0.391304347826087
45,22,4,"[np.int64(1414), np.int64(1415), np.int64(1435), np.int64(1580)]",11,0.5
50,22,4,"[np.int64(1402), np.int64(1403), np.int64(1426), np.int64(1427)]",10,0.45454545454545453
5,21,3,"[np.int64(487), np.int64(513), np.int64(538)]",12,0.5714285714285714
53,21,4,"[np.int64(1521), np.int64(1539), np.int64(1599), np.int64(1600)]",9,0.42857142857142855
