ref,boot
1046,697
-1,-1
-1,-1
1685,1270
-1,1069
504,427
1110,736
102,131
1333,-1
872,684
1553,1056
-1,-1
1534,1152
76,45
1205,815
1074,756
1524,1049
-1,8
-1,-1
826,964
1262,877
1127,-1
305,151
189,228
906,710
525,519
293,254
1720,1226
63,94
-1,-1
-1,-1
368,290
1089,696
1391,1034
55,39
1595,1222
-1,-1
1030,876
128,-1
277,201
384,322
1011,712
-1,-1
-1,16
1307,970
240,173
647,416
568,524
1262,877
664,568
348,262
939,849
-1,-1
-1,56
-1,-1
1165,903
270,-1
1439,1050
350,249
134,73
-1,559
1768,1245
-1,-1
453,385
1158,814
211,88
348,262
640,579
922,806
-1,831
899,738
-1,558
-1,-1
648,606
720,626
992,547
998,586
1705,1144
788,762
-1,-1
1795,1301
1146,894
24,34
120,97
955,462
-1,1207
509,450
-1,-1
1293,957
1791,1259
-1,-1
1579,1089
956,603
439,343
-1,731
1698,1249
259,188
1050,882
1372,1025
254,173
-1,-1
640,579
181,145
483,495
-1,-1
-1,218
857,669
947,651
1005,904
591,434
826,-1
-1,-1
521,422
1470,1153
959,973
160,84
1238,960
1394,1029
-1,-1
24,34
1352,1018
1342,935
927,584
-1,341
1256,980
877,834
1003,529
1121,881
472,373
-1,-1
1319,897
1772,1304
320,263
1072,480
1070,886
1321,969
1368,959
1254,661
304,272
-1,-1
-1,-1
1791,1259
1137,907
445,369
1113,585
1728,1017
1461,1003
219,147
-1,1118
1240,862
1385,978
177,155
1181,967
1583,1168
1332,1010
607,526
1599,1254
384,322
984,687
-1,-1
295,-1
967,671
1433,1058
1246,875
-1,-1
-1,1308
1104,795
490,464
885,766
1489,1096
1741,1212
1091,448
397,324
868,682
157,13
432,363
958,981
681,442
-1,-1
615,353
1400,1040
1662,1130
1599,1254
1381,1019
462,458
868,682
491,384
989,482
1341,897
-1,-1
1459,1084
-1,-1
-1,-1
352,-1
1770,-1
1218,1000
335,275
1724,1186
399,330
-1,329
-1,755
430,340
8,-1
717,342
441,454
1386,979
-1,496
1611,1174
978,797
1218,1000
206,192
-1,-1
861,636
723,595
205,191
1771,1303
-1,-1
314,251
13,8
596,444
690,594
-1,-1
1027,768
-1,-1
-1,-1
1478,1124
1734,1276
441,454
962,858
120,-1
763,494
818,670
553,521
484,411
31,65
934,-1
1190,999
1484,1070
23,24
271,195
-1,-1
1433,1058
-1,-1
633,531
824,830
494,375
570,457
-1,-1
359,278
570,457
1464,998
1471,1156
1728,1017
1240,862
-1,-1
570,457
223,225
670,608
389,313
714,516
-1,-1
-1,-1
1606,1099
244,178
692,590
480,409
227,206
377,309
1430,1041
924,730
-1,-1
1275,943
1176,842
1758,1280
1812,1282
-1,1215
1738,-1
1759,1288
1626,1119
-1,-1
1245,874
1301,890
201,63
-1,-1
-1,652
736,718
284,-1
463,356
1503,1107
