label,within_cluster_variance
0,49529.73788287975
1,33794224.82755031
2,189239745.71378532
3,18090148.955963507
4,548118576.9351292
5,545493959.625948
6,490620947.03285813
7,159352266.5474533
8,611051617.0275545
9,45668313.555006586
10,44831588.5198152
11,61659048.60943872
12,106921536.36989234
13,478110429.16794395
14,306066055.84546065
15,44967777.7819405
16,424584009.3910602
17,555604405.0407605
18,22963817.741603773
19,488004127.77260566
20,489727460.60174453
21,554440091.1104488
22,45008432.7770652
23,52696777.38887558
24,635147603.2219653
25,671386678.2652353
26,45015357.11928531
27,45042953.95055461
28,52604928.68695931
29,52649095.75850237
30,676611993.3989459
31,677703839.7414294
32,225713020.20156446
33,313485882.8853811
34,629142441.9926624
35,672888707.9677444
36,674413293.5402644
37,677659431.9860883
38,22013192.115264576
39,626128510.7746764
40,627481374.8408854
41,55238843.59313039
42,614691786.6220064
43,60347682.570189044
44,575019378.0229602
45,553071159.0863065
46,18411601.137758464
47,27767237.80243643
48,384688120.1125652
49,57407882.905571185
50,41701223.52116261
51,678591018.0775964
52,678743680.2343984
53,33765954.79269341
54,39368031.311597675
55,416081950.3958885
56,480431404.7833779
57,487729711.790713
58,75812024.81393586
59,55664794.52366633
60,573236353.2904178
61,573715581.8866899
62,552451245.052898
63,552494908.5070373
64,14157025.603445131
65,162333208.2804115
66,44209725.058369115
67,374520191.07811576
68,376191829.5807581
69,377987194.5748441
70,380403495.60575974
71,717973572.929658
72,47709645.42394631
73,41724403.94030931
74,41740106.56469632
75,9850629.309552813
76,11487366.994403433
77,125265046.38370903
78,34934621.81754286
79,30625925.687707864
80,666217320.9048016
81,72602804.62523931
82,71539700.47012937
83,69600608.11133891
84,67476499.20615289
85,47194166.05907931
86,46767562.543230556
87,46537017.26864001
88,12981697.685913622
89,13873429.633011496
90,13965191.55853446
91,4690721.633252478
92,411507316.90837497
93,461615279.09608936
94,463628410.19991344
95,239057844.9807086
96,41103200.52407767
97,41054684.35689361
98,5744757.472531371
99,411106510.11085033
100,411232112.9975584
101,320798242.2603237
102,160832678.08914766
103,312121257.0819837
104,694459100.0779533
105,693637712.2970951
106,716373032.2397915
107,247076355.20307785
108,192482835.10621062
109,94430408.50420961
110,92727308.01584503
111,314020695.9536142
112,315960988.61141634
113,718102977.3806276
114,10124455.43059839
115,6690945.668979505
116,7545212.76524644
117,390295025.748117
118,392272153.5292532
119,509541394.2467194
120,136111221.25399274
121,156019007.6162044
122,13094582.342352338
123,3558012.2426101347
124,22100621.569313936
125,224678169.2017391
126,316847459.45438313
127,296172006.9842682
128,147879901.670243
129,127397965.84508912
130,99381488.03835389
131,202619441.13990906
132,123950227.28246048
133,718073652.8195735
134,718055275.6189722
135,47435107.78639907
136,47399711.608810484
137,22252635.359968025
138,22391611.488389287
139,75981864.56247137
140,239029549.87020698
141,361923002.89170325
142,206989846.27753004
143,205844125.5412852
144,158102348.8955105
145,157294176.50374135
146,120969927.8464905
147,117989423.781443
148,714314540.7696652
149,20946753.041659724
150,21071029.723014776
151,96778779.0029925
152,189627090.43872818
153,203097141.3456935
154,248232158.39718273
155,254545523.42398965
156,170817409.56051698
157,83772258.30515407
158,83966953.30871263
159,13080785.900259815
160,7028158.859363166
161,3522408.074118072
162,510141219.63171166
163,385894031.3190802
164,261159999.40737152
165,714024736.1123123
166,714141983.1638664
167,13065525.534826199
168,13051454.339446936
169,3843371.5433856607
170,444990748.475366
171,514365536.5844461
172,348130033.357549
173,113086728.42306148
174,721237304.4790144
175,704207491.0341866
176,197896924.46102104
177,254718465.75434193
178,256700869.49194482
179,659123339.8417085
180,4235623.54304929
181,84398296.69053142
182,366216802.5689158
183,481100628.293948
184,443232633.85732484
185,413373802.50413316
186,403208665.42270994
187,201540572.12392282
188,187709292.7217593
189,150980629.34139735
