ref,boot
1380,1037
184,196
883,520
199,118
-1,-1
616,528
934,831
-1,1253
400,388
-1,-1
1053,636
-1,675
1713,1240
957,568
924,733
59,-1
535,419
-1,-1
1712,1160
681,657
-1,930
-1,-1
-1,328
1753,1232
-1,-1
-1,181
5,1
476,464
589,325
711,691
132,131
1427,1079
1498,1157
1002,635
-1,1230
937,-1
285,193
76,40
1164,922
1197,821
1685,1226
1487,1162
-1,-1
1436,-1
1635,1132
-1,824
1669,1224
-1,-1
1532,1186
1620,1131
1306,842
715,602
1526,475
36,9
934,-1
1739,1159
883,520
-1,-1
1091,713
478,488
285,193
997,443
1490,514
1133,927
356,252
237,157
530,470
1570,1169
1017,580
1325,1003
1108,790
221,145
1060,802
874,645
903,-1
285,193
556,341
771,619
1606,1119
846,607
1469,1087
968,664
921,615
495,556
-1,-1
1069,838
467,383
132,131
1166,669
664,658
24,15
889,690
1402,1043
1397,978
1408,395
-1,298
-1,748
-1,-1
1239,348
-1,-1
242,136
1543,1178
742,859
1395,978
-1,-1
1630,1142
1721,1295
-1,-1
-1,-1
-1,999
1271,631
1603,1196
1516,1155
553,492
399,292
1375,991
1028,731
1370,998
1312,932
284,244
726,576
1156,572
751,656
-1,998
293,263
399,292
348,256
-1,-1
623,599
-1,-1
1358,947
347,256
1583,1134
77,71
926,791
621,561
755,450
-1,-1
-1,1305
-1,-1
601,562
1719,1093
1117,442
1395,978
538,350
836,423
1270,630
651,703
-1,1239
1274,1024
846,607
359,275
-1,787
-1,-1
1097,719
-1,573
662,-1
1377,1035
1621,1197
645,385
1061,895
-1,104
1708,1262
66,44
1021,923
-1,-1
825,-1
177,107
97,-1
1615,1283
793,585
538,350
148,154
-1,134
1101,751
869,853
430,390
1331,1014
574,320
1168,778
205,55
-1,-1
-1,-1
77,71
25,-1
1772,1300
768,473
1812,1294
1512,1153
937,600
49,-1
-1,-1
1207,399
411,379
1566,-1
-1,-1
102,93
131,156
-1,406
575,323
179,184
1748,1235
-1,-1
566,672
1476,1080
1327,933
1461,-1
-1,-1
731,663
406,370
537,338
711,691
449,371
1524,1050
839,364
-1,-1
210,181
1620,1131
40,25
1604,1237
1459,1072
742,859
-1,377
1145,-1
1524,1050
154,161
1703,1182
1087,759
189,176
1159,677
929,867
311,262
1149,971
1752,1285
1598,1207
6,2
970,-1
1174,822
-1,-1
-1,-1
1078,683
-1,-1
1171,924
1016,768
270,197
495,556
806,-1
888,552
1451,-1
496,557
-1,1107
472,444
1153,797
-1,-1
1441,-1
603,420
1647,1297
760,346
178,107
238,158
-1,931
1516,1155
-1,106
1570,1169
885,649
1687,1199
-1,-1
1142,786
567,673
-1,-1
1049,-1
-1,846
1341,1009
1253,746
1747,1236
1479,1147
1539,-1
-1,-1
1217,841
-1,-1
858,705
788,783
1138,961
241,137
1199,890
-1,87
-1,-1
-1,110
-1,-1
-1,-1
172,111
888,552
1807,1305
-1,-1
562,486
-1,-1
-1,-1
905,921
-1,-1
-1,-1
350,215
962,921
530,470
1551,1120
1699,1274
-1,-1
293,264
252,78
1461,477
872,912
43,32
-1,-1
320,187
1612,1270
1361,1016
1079,935
-1,992
562,486
1000,543
-1,-1
-1,-1
-1,-1
483,369
1475,1066
681,657
583,534
1587,1166
20,29
841,363
1137,779
1777,1255
1349,960
1,-1
-1,-1
27,49
481,418
-1,-1
236,76
1129,773
913,938
824,682
392,355
1595,1188
1149,971
572,471
0,-1
969,664
1798,1312
874,646
1401,1040
216,206
1549,1096
-1,-1
675,708
1069,838
348,283
1377,1035
1682,-1
-1,331
-1,-1
1565,1068
1691,1145
881,610
1667,-1
-1,-1
1218,844
394,304
1250,893
391,330
-1,269
914,913
1090,714
1561,1070
323,260
702,700
954,-1
-1,54
1180,411
968,664
531,-1
1154,798
-1,984
877,647
-1,-1
1320,878
102,93
-1,-1
1062,834
701,699
1510,1123
979,616
544,504
803,538
521,624
436,308
-1,1281
-1,-1
603,420
786,819
439,310
795,523
689,344
1342,986
1244,-1
975,909
510,321
20,29
-1,-1
1411,407
733,622
1478,1146
552,509
798,653
-1,149
-1,-1
1040,376
1495,1074
-1,-1
1724,1239
1698,1274
-1,-1
49,-1
-1,-1
821,765
1419,1057
1618,1067
1584,1213
301,212
882,611
906,762
1068,837
279,224
365,175
771,-1
1261,824
1078,683
-1,-1
1699,1274
188,112
722,358
1241,-1
1036,918
13,8
1214,906
-1,-1
826,685
1120,722
-1,-1
420,299
1521,1058
-1,-1
537,338
1306,842
271,223
1535,1089
-1,-1
773,737
237,157
-1,-1
-1,-1
1305,965
-1,669
1355,1005
1567,1180
1110,865
1629,1141
1724,1239
1725,1279
1791,1287
649,660
1812,1294
1039,375
335,258
1513,1218
899,384
543,409
166,173
1730,1281
-1,-1
124,102
1017,580
832,-1
800,559
1391,1032
-1,-1
1799,1308
1512,1153
1272,973
341,242
-1,213
147,132
1233,813
1354,-1
-1,137
-1,404
537,338
1075,640
-1,-1
519,554
955,718
138,164
227,152
467,383
517,413
1487,1162
784,753
8,-1
-1,471
259,167
-1,-1
565,487
1450,1152
1075,640
450,336
1090,714
1209,478
1189,812
932,652
1471,1115
356,252
1809,1230
598,-1
798,653
1221,769
1660,1171
98,54
591,327
1813,1293
890,793
63,38
-1,-1
1721,1295
297,231
630,-1
217,207
-1,-1
1433,1085
1323,1019
255,220
105,170
1584,1213
454,460
109,109
-1,-1
572,471
3,-1
325,270
1778,1289
1625,1150
824,682
335,258
1552,1112
1498,1156
47,52
961,884
871,856
828,587
324,259
338,281
-1,-1
-1,-1
1204,411
-1,1016
31,11
190,56
412,402
938,367
445,342
-1,-1
1190,843
1497,-1
267,146
1177,481
218,165
481,418
-1,318
-1,-1
54,72
1510,1123
-1,636
1312,932
132,131
496,557
109,109
1005,896
862,639
1229,860
253,78
357,217
160,103
303,271
614,583
617,531
1190,843
1042,-1
78,44
1693,1192
1446,474
411,379
-1,213
811,426
1673,1179
720,365
1187,775
521,625
1584,1213
1805,1305
858,705
538,350
890,793
479,488
1801,1310
1253,746
1132,879
671,618
1228,860
-1,548
-1,-1
145,94
1236,845
-1,1126
390,330
1778,1288
726,-1
924,733
-1,-1
30,12
1479,1147
447,432
-1,-1
590,400
380,287
128,85
1091,713
829,-1
-1,-1
90,63
1423,1173
1479,1147
918,612
1296,959
1352,1021
1090,714
-1,-1
233,-1
264,222
-1,-1
1468,-1
82,58
1555,1122
-1,-1
1456,1077
1540,1092
644,319
1248,955
305,195
23,35
939,367
1402,1043
525,-1
1498,1157
893,828
460,436
907,739
1496,1074
8,22
228,143
774,738
1409,1046
90,63
357,217
1359,-1
136,41
188,112
311,262
1117,442
-1,-1
-1,1220
-1,-1
153,79
-1,411
798,653
524,560
292,251
441,312
919,650
480,418
-1,430
285,193
596,596
1373,-1
924,733
64,40
647,327
956,569
1724,1239
448,417
927,792
-1,-1
1296,959
190,56
780,-1
-1,-1
-1,592
-1,1070
359,274
1209,478
1295,964
340,243
-1,-1
785,911
-1,-1
47,52
978,730
1323,1019
-1,882
41,51
