cluster_id,n_sats,n_planes,plane_ids,max_plane_sats,max_plane_frac,mean_inc,mean_alt
538,21,2,"[np.int64(4), np.int64(5)]",12,0.5714285714285714,53.21854761904761,547.9084404206775
399,15,1,[np.int64(3)],15,1.0,53.055386666666664,555.3509420774532
1667,13,1,[np.int64(57)],13,1.0,53.21762307692308,547.8476059198863
808,12,2,"[np.int64(15), np.int64(16)]",6,0.5,53.217425,547.6439873301139
765,11,2,"[np.int64(7), np.int64(8)]",9,0.8181818181818182,53.217790909090915,547.8275981097263
1414,11,1,[np.int64(45)],11,1.0,53.19975454545454,548.4750034422422
1739,11,2,"[np.int64(56), np.int64(57)]",7,0.6363636363636364,53.068554545454546,554.6393010066464
439,11,1,[np.int64(3)],11,1.0,53.21884545454546,547.86267491395
1558,10,1,[np.int64(44)],10,1.0,53.18274,549.4141766840605
1620,10,1,[np.int64(60)],10,1.0,53.18560000000001,549.4306907690376
1427,10,1,[np.int64(50)],10,1.0,53.21578000000001,547.9360534624989
1270,10,1,[np.int64(30)],10,1.0,53.21632999999999,547.8762235959528
1450,10,2,"[np.int64(39), np.int64(40)]",8,0.8,53.21486,547.8363083813831
1550,10,1,[np.int64(35)],10,1.0,53.21535,547.7518415053688
1524,10,1,[np.int64(65)],10,1.0,53.055499999999995,555.3933675414044
421,9,1,[np.int64(1)],9,1.0,53.219455555555555,547.8311598194673
1357,9,1,[np.int64(31)],9,1.0,53.21586666666666,547.7125068311849
1439,9,1,[np.int64(34)],9,1.0,53.21604444444444,547.9131665331026
1129,9,1,[np.int64(27)],9,1.0,53.217111111111116,547.8315515967402
690,9,1,[np.int64(17)],9,1.0,53.21717777777778,547.820940475088
1647,9,1,[np.int64(44)],9,1.0,53.21494444444444,547.7837688759714
1480,9,1,[np.int64(61)],9,1.0,53.218222222222224,547.8388278695659
510,9,1,[np.int64(6)],9,1.0,53.21838888888889,547.8568445646606
1600,9,1,[np.int64(53)],9,1.0,53.19853333333333,548.4691194116464
1567,9,1,[np.int64(63)],9,1.0,53.05418888888889,555.3915446024288
1583,8,1,[np.int64(63)],8,1.0,53.219387499999996,547.8860467129264
1458,8,1,[np.int64(51)],8,1.0,53.1959875,546.9192335709331
1295,8,1,[np.int64(28)],8,1.0,53.2173375,547.8463767890761
1459,8,1,[np.int64(52)],8,1.0,53.2153875,547.7928091657552
607,8,1,[np.int64(9)],8,1.0,53.0546875,555.3942392280098
950,8,1,[np.int64(8)],8,1.0,53.2177375,547.8366392122857
1190,8,1,[np.int64(32)],8,1.0,53.21675,547.6819383506686
957,8,1,[np.int64(24)],8,1.0,53.216787499999995,547.8271722317022
956,8,1,[np.int64(24)],8,1.0,53.217175,547.844288431129
1652,8,2,"[np.int64(57), np.int64(58)]",6,0.75,53.0540875,555.2336850869816
1624,8,1,[np.int64(67)],8,1.0,53.0545625,555.3650925775346
1689,8,1,[np.int64(67)],8,1.0,53.219562499999995,547.8702155885735
1706,8,1,[np.int64(67)],8,1.0,53.219474999999996,547.8315135931409
1498,8,1,[np.int64(49)],8,1.0,53.216412500000004,547.8212884334748
1476,8,1,[np.int64(60)],8,1.0,53.075387500000005,554.3844073818422
1215,8,1,[np.int64(23)],8,1.0,53.2175125,548.0081925601509
1253,8,1,[np.int64(21)],8,1.0,53.21655,547.964759212753
1774,8,1,[np.int64(54)],8,1.0,53.218199999999996,547.8028059442737
1478,7,2,"[np.int64(60), np.int64(61)]",6,0.8571428571428571,53.07828571428571,554.3738076693111
1302,7,1,[np.int64(20)],7,1.0,53.216371428571414,547.7914418210826
1442,7,1,[np.int64(42)],7,1.0,53.214928571428565,547.6572295051767
1728,7,1,[np.int64(68)],7,1.0,53.2193,547.9162691484997
1218,7,1,[np.int64(32)],7,1.0,53.21577142857143,547.902185924843
1236,7,1,[np.int64(26)],7,1.0,53.21702857142857,547.8684376623435
1419,7,1,[np.int64(52)],7,1.0,53.21595714285714,548.0656037486117
463,7,1,[np.int64(2)],7,1.0,53.219585714285714,547.8752215927587
444,7,1,[np.int64(1)],7,1.0,53.21974285714286,547.8912039250749
1464,7,1,[np.int64(70)],7,1.0,53.220228571428564,547.952974006435
692,7,1,[np.int64(11)],7,1.0,53.217600000000004,547.8569791198744
1534,7,1,[np.int64(48)],7,1.0,53.214728571428566,547.7783970276346
1512,7,1,[np.int64(40)],7,1.0,53.215628571428574,547.6847745699694
845,7,1,[np.int64(9)],7,1.0,53.21772857142857,547.8166420698611
1635,7,1,[np.int64(60)],7,1.0,53.21877142857143,547.8290778009748
1669,6,1,[np.int64(59)],6,1.0,53.22001666666667,547.9891912162581
575,6,1,[np.int64(4)],6,1.0,53.21881666666667,547.9414046949659
574,6,1,[np.int64(14)],6,1.0,53.05429999999999,554.5095055019793
1674,6,1,[np.int64(62)],6,1.0,53.21955,547.8909989104149
1708,6,1,[np.int64(41)],6,1.0,53.21538333333333,547.6207123849131
1693,6,1,[np.int64(58)],6,1.0,53.215849999999996,547.9712404966873
1666,6,1,[np.int64(38)],6,1.0,53.21528333333333,547.9284996213902
1364,6,1,[np.int64(25)],6,1.0,53.21728333333332,547.8383457241649
1433,6,1,[np.int64(38)],6,1.0,53.216033333333336,547.8018452927816
1232,6,1,[np.int64(10)],6,1.0,53.21793333333334,547.9209757407225
1296,6,1,[np.int64(28)],6,1.0,53.2174,547.774216320553
1440,6,1,[np.int64(34)],6,1.0,53.21721666666667,547.7822053529165
1445,6,1,[np.int64(51)],6,1.0,53.16140000000001,549.3671429372154
1303,6,1,[np.int64(20)],6,1.0,53.21761666666666,547.8505575796348
1237,6,1,[np.int64(26)],6,1.0,53.21738333333332,547.8426511702962
1523,6,1,[np.int64(59)],6,1.0,53.082449999999994,554.0936247956427
1601,6,1,[np.int64(58)],6,1.0,53.08255,554.1314387594603
1779,6,1,[np.int64(64)],6,1.0,53.219483333333336,547.8478113262316
1570,6,1,[np.int64(33)],6,1.0,53.216483333333336,547.8077622390526
410,6,1,[np.int64(71)],6,1.0,53.22005000000001,548.0313931058851
409,6,1,[np.int64(71)],6,1.0,53.220483333333334,547.9773421607363
1654,6,1,[np.int64(59)],6,1.0,53.2175,547.8314024984385
1618,6,1,[np.int64(58)],6,1.0,53.13583333333333,551.5058772490793
1657,6,1,[np.int64(65)],6,1.0,53.21928333333333,547.9457032239318
1098,6,1,[np.int64(27)],6,1.0,53.21686666666667,547.7277125353545
939,6,1,[np.int64(15)],6,1.0,53.21751666666666,547.8050102731121
1515,6,1,[np.int64(44)],6,1.0,53.16138333333333,550.1848273954429
938,6,1,[np.int64(14)],6,1.0,53.21758333333333,547.8907928159971
