N,best_real_cost,optimized_cost,success,label,error
4,157529.3223957211,49527.27055480999,True,0,
5,71.4411226397983,66.69891891586417,True,1,
3,648.6802395701321,159.25132799963723,True,2,
4,1840.5206258268588,1042.622174530977,True,3,
3,195.16033623737334,62.187119296890835,True,4,
4,1339.2802512634125,350.33970357956525,True,5,
2,0.02210551039024944,0.003412206482507005,True,6,
3,9383.736670094624,8179.865596505912,True,7,
19,0.014643693777848334,0.012422938639111729,True,8,
4,0.1099707973142579,0.0329806837695075,True,9,
3,6.1575457651809235e-06,2.2072044726834988e-06,True,10,
3,273.8429931209576,47.908879833728456,True,11,
5,5369.823405584753,817.0864388396451,True,12,
5,7403.128665794253,4212.548066602165,True,13,
8,4603.355715149015,3752.3947524761397,True,14,
3,9.853938678756322e-07,5.836899320747737e-07,True,15,
5,1812.423379095401,904.2921170315715,True,16,
3,7.301958600908592e-05,1.3618644393475357e-05,True,17,
3,263.5707110828959,74.22272513214926,True,18,
6,6.663032489281364e-05,2.5059471640444275e-05,True,19,
8,2.425791965231283e-05,2.4213513733870836e-05,True,20,
4,1.98564415398653e-05,9.341938276268686e-06,True,21,
2,7.628111079234392e-07,9.635848775330356e-08,True,22,
4,1.3532366687185046e-07,8.337189599758692e-08,True,23,
9,0.00023538849610584112,0.00021918316881978952,True,24,
6,0.01519426703080693,0.015185440358517202,True,25,
3,1.2110750796752517e-07,6.933833494377813e-08,True,26,
5,1.1408208954110557e-07,8.840824903640138e-08,True,27,
4,3.494540629001728e-08,2.1408621880218684e-08,True,28,
5,1.249805628428875e-07,9.285318280002262e-08,True,29,
3,1.666238970490635e-07,1.4425515142467904e-07,True,30,
9,2.0194310415519647e-05,1.5980431937078298e-05,True,31,
7,1308.1200213184406,547.2058754260547,True,32,
2,3878.432720498353,489.24390425942806,True,33,
6,7.144392380230229e-05,6.0802198816884503e-05,True,34,
2,0.019339834550006273,0.0024181612337975207,True,35,
4,6.098345638659822e-05,3.467550798739012e-05,True,36,
3,5.772423799056806e-06,3.101160436465673e-06,True,37,
5,51.85400500515436,50.847962531115044,True,38,
3,0.0005409685765427901,0.00010893322589231995,True,39,
6,2.2851561277199663e-05,2.2801675934654586e-05,True,40,
7,136.53514165890178,88.56241699525287,True,41,
4,2934.1135550445197,1085.1163995592606,True,42,
5,850.8451515727127,223.66184851091248,True,43,
