satNo,name,line1,line2,inclination,apogee,raan,argument_of_perigee,eccentricity,mean_motion,hdbscan_labels
00022,EXPLORER 7,1 00022U 59009A   26027.27445156  .00021743  00000-0  78169-3 0  9999,2 00022  50.2413  75.2831 0084749 277.7031  81.4311 15.25149211778816,50.2413,555.6840522083723,75.2831,277.7031,0.0084749,15.25149211,352
00029,TIROS 1,1 00029U 60002B   26026.97187789  .00001512  00000-0  23291-3 0  9990,2 00029  48.3799 335.6603 0022260  19.1881 340.9866 14.78534523521230,48.3799,656.699667846051,335.6603,19.1881,0.002226,14.78534523,-1
00369,FTV 3502,1 00369U 62039A   26027.25230889  .00002970  00000-0  28444-3 0  9995,2 00369  98.4702 101.2650 0078909 226.4132 133.0518 14.91751406394597,98.4702,654.6157739287614,101.265,226.4132,0.0078909,14.91751406,-1
00397,TIROS 6,1 00397U 62047A   26027.29620605  .00002470  00000-0  24138-3 0  9999,2 00397  58.3032  88.6422 0007999  28.7127 331.4360 14.95569726391246,58.3032,593.3082340625422,88.6422,28.7127,0.0007999,14.95569726,-1
00716,TIROS 8,1 00716U 63054A   26027.20221828  .00001180  00000-0  21094-3 0  9993,2 00716  58.4924 198.5325 0028627  82.0253 278.4033 14.72989336294943,58.4924,678.8019770143806,198.5325,82.0253,0.0028627,14.72989336,-1
01814,FR 1,1 01814U 65101A   26027.01614389  .00001430  00000-0  23361-3 0  9992,2 01814  75.8633 234.5888 0004887  96.5563 263.6175 14.71404877 35334,75.8633,667.1616132578347,234.5888,96.5563,0.0004887,14.71404877,-1
02826,OPS 5712 (P/L 160),1 02826U 67053A   26027.28507336  .00016156  00000-0  23860-2 0  9990,2 02826  69.9187  23.0601 0006676 266.4679  93.5704 14.75304798 45439,69.9187,656.008998761463,23.0601,266.4679,0.0006676,14.75304798,-1
03229,COSMOS 220,1 03229U 68040A   26027.27830944  .00001409  00000-0  18648-3 0  9992,2 03229  74.0255  99.1509 0033409  36.4816 323.8627 14.80593648 69533,74.0255,657.9928712778799,99.1509,36.4816,0.0033409,14.80593648,-1
04221,AZUR (GRS A),1 04221U 69097A   26027.26701136  .00051557  00000-0  87328-3 0  9997,2 04221 102.6692  72.7271 0261600 246.4866 110.8666 15.21466309703896,102.6692,688.5230915129818,72.7271,246.4866,0.02616,15.21466309,-1
04922,COSMOS 394,1 04922U 71010A   26027.28061880  .00008949  00000-0  18032-3 0  9993,2 04922  65.8210  13.1738 0020193 269.1935  90.6901 15.46895095 36213,65.821,446.6916172232134,13.1738,269.1935,0.0020193,15.46895095,-1
06217,OPS 8180 (STP RADSAT),1 06217U 72076B   26027.21385199  .00001528  00000-0  25914-3 0  9993,2 06217  98.6352   2.6772 0010395 105.5064 254.7289 14.70789881818067,98.6352,672.9992401090767,2.6772,105.5064,0.0010395,14.70789881,-1
06350,COSMOS 546,1 06350U 73005A   26026.69970529  .00004265  00000-0  15901-3 0  9998,2 06350  50.6337 137.1084 0014746  97.0017 263.2627 15.29467465921560,50.6337,494.6493393312879,137.1084,97.0017,0.0014746,15.29467465,-1
07003,AUREOLE 2,1 07003U 73107A   26027.33148543  .00065826  00000-0  69163-3 0  9991,2 07003  73.8967 134.0725 0135952 107.0772 254.5386 15.53263292682471,73.8967,506.59081991865673,134.0725,107.0772,0.0135952,15.53263292,-1
08688,COSMOS 803,1 08688U 76014A   26027.31940284  .00015200  00000-0  18846-3 0  9994,2 08688  65.8370  90.2219 0006543 206.6989 153.3831 15.60207187769858,65.837,398.62156096782905,90.2219,206.6989,0.0006543,15.60207187,-1
10095,COSMOS 921,1 10095U 77055A   26027.23438003  .00001613  00000-0  14211-3 0  9992,2 10095  75.8307  81.4896 0036140 345.8075  14.2101 14.96491151633315,75.8307,610.0237709545037,81.4896,345.8075,0.003614,14.96491151,-1
12987,COSMOS 1328,1 12987U 81117A   26026.52075477  .00014450  00000-0  45553-3 0  9997,2 12987  82.4904  33.3357 0010139 341.5401  18.5472 15.32712488407595,82.4904,481.80150071761756,33.3357,341.5401,0.0010139,15.32712488,14
13172,OPS 6553,1 13172U 82041C   26027.30204365  .00007586  00000-0  53795-3 0  9997,2 13172  95.9854 172.5205 0011129  67.4455 292.7952 15.04908979 94464,95.9854,566.6344054353182,172.5205,67.4455,0.0011129,15.04908979,-1
14064,COSMOS 1461,1 14064U 83044A   26026.79485616  .00036506  00000-0  10880-2 0  9995,2 14064  64.9883 158.2758 0059644 240.8658 118.6499 15.32714185195428,64.9883,515.6868498031208,158.2758,240.8658,0.0059644,15.32714185,-1
14147,COSMOS 1470,1 14147U 83061A   26026.82175600  .00023277  00000-0  53758-3 0  9992,2 14147  82.4703 160.4834 0008387 152.6269 207.5421 15.42355207 81279,82.4703,452.01504299965876,160.4834,152.6269,0.0008387,15.42355207,13
14699,COSMOS 1536,1 14699U 84013A   26026.75110629  .00010107  00000-0  42426-3 0  9992,2 14699  82.5468 149.5065 0015666  72.4275 287.8672 15.23219580266230,82.5468,514.0431368115526,149.5065,72.4275,0.0015666,15.2321958,13
14780,LANDSAT 5,1 14780U 84021A   26027.25943444  .00003829  00000-0  27046-3 0  9991,2 14780  98.0719 300.3387 0068522 228.5165 131.0165 15.03693603770201,98.0719,610.1665090629095,300.3387,228.5165,0.0068522,15.03693603,91
14781,OSCAR 11 (UOSAT 2),1 14781U 84021B   26026.84764129  .00003138  00000-0  32829-3 0  9995,2 14781  97.7873 354.1972 0006206 298.1762  61.8829 14.90336000236072,97.7873,608.3528104088316,354.1972,298.1762,0.0006206,14.90336,58
15071,USA 3,1 15071U 84065C   26027.26246455  .00010721  00000-0  61641-3 0  9990,2 15071  95.9023 288.2720 0006235 102.7708 257.4224 15.12575708 93801,95.9023,539.7915251453248,288.272,102.7708,0.0006235,15.12575708,-1
15331,COSMOS 1602,1 15331U 84105A   26027.16062392  .00110798  00000-0  78441-3 0  9990,2 15331  82.5154  81.4597 0005266 100.1402 260.0456 15.73607807259992,82.5154,359.2750462592328,81.4597,100.1402,0.0005266,15.73607807,-1
16262,COSMOS 1703,1 16262U 85108A   26026.89799368  .00032838  00000-0  62233-3 0  9997,2 16262  82.4603   5.2823 0007556 127.0475 233.1467 15.48152266195552,82.4603,434.40676500776317,5.2823,127.0475,0.0007556,15.48152266,7
16326,COSMOS 1707,1 16326U 85113A   26027.26992907  .00065905  00000-0  74426-3 0  9998,2 16326  82.4923 317.8523 0007119  89.1524 271.0550 15.62205786195348,82.4923,393.2358876625728,317.8523,89.1524,0.0007119,15.62205786,1
16719,COSMOS 1743,1 16719U 86034A   26027.31780561  .00047316  00000-0  68997-3 0  9996,2 16719  82.5355 117.1439 0005482  87.0109 273.1772 15.55477875173817,82.5355,411.6170548270233,117.1439,87.0109,0.0005482,15.55477875,-1
16791,COSMOS 1758,1 16791U 86046A   26026.88416015  .00009937  00000-0  39511-3 0  9997,2 16791  82.4597 185.6719 0015253 118.2275 242.0505 15.25043955159697,82.4597,508.2674145912789,185.6719,118.2275,0.0015253,15.25043955,-1
16881,COSMOS 1766,1 16881U 86055A   26027.33179436  .00035280  00000-0  66410-3 0  9999,2 16881  82.4912 151.8565 0006773 329.5993  30.4864 15.48347630137205,82.4912,433.301884977432,151.8565,329.5993,0.0006773,15.4834763,13
16986,COSMOS 1782,1 16986U 86074A   26027.16455841  .00015821  00000-0  50503-3 0  9999,2 16986  82.5265 280.3634 0006759  11.9729 348.1672 15.32342274124946,82.5265,480.59094097001014,280.3634,11.9729,0.0006759,15.32342274,-1
17191,COSMOS 1805,1 17191U 86097A   26027.32561865  .00028248  00000-0  57788-3 0  9994,2 17191  82.4613 138.3903 0001455 282.3339  77.7747 15.45974151140733,82.4613,436.64459355008603,138.3903,282.3339,0.0001455,15.45974151,-1
17295,COSMOS 1812,1 17295U 87003A   26027.04062140  .00234121  00000-0  81766-3 0  9990,2 17295  82.4801 242.5496 0000997  33.2832 326.8502 15.88724515137819,82.4801,313.66129620811716,242.5496,33.2832,9.97e-05,15.88724515,-1
17911,COSMOS 1842,1 17911U 87038A   26027.25245194  .00038997  00000-0  70325-3 0  9990,2 17911  82.5089 322.1895 0008277  83.5960 276.6233 15.49553307118896,82.5089,430.7940417834017,322.1895,83.596,0.0008277,15.49553307,1
18152,COSMOS 1862,1 18152U 87055A   26027.15428640  .00010331  00000-0  35647-3 0  9995,2 18152  82.4857  89.4660 0010077 153.9666 206.2083 15.29786991 83488,82.4857,490.49288310624564,89.466,153.9666,0.0010077,15.29786991,42
18214,COSMOS 1869,1 18214U 87062A   26026.99765745  .00015238  00000-0  45637-3 0  9994,2 18214  82.5096 244.1672 0017438 205.7265 154.3112 15.34237331 82890,82.5096,482.2536698631877,244.1672,205.7265,0.0017438,15.34237331,-1
18748,COSMOS 1908,1 18748U 88001A   26027.28032925  .00151049  00000-0  86429-3 0  9995,2 18748  82.4466 147.1446 0002507 355.4066   4.7177 15.78402110 84344,82.4466,343.7874506504573,147.1446,355.4066,0.0002507,15.7840211,13
18958,COSMOS 1933,1 18958U 88020A   26027.12425210  .00006502  00000-0  32199-3 0  9993,2 18958  82.5145 292.0283 0004424   8.7172 351.4138 15.17605002 43923,82.5145,523.2669866780843,292.0283,8.7172,0.0004424,15.17605002,-1
19210,COSMOS 1953,1 19210U 88050A   26026.91283497  .00011424  00000-0  42113-3 0  9999,2 19210  82.5074 200.2302 0010348 272.3508  87.6546 15.27629198 31407,82.5074,497.13858641558795,200.2302,272.3508,0.0010348,15.27629198,2
19274,OKEAN 1,1 19274U 88056A   26027.26069519  .00016071  00000-0  53828-3 0  9999,2 19274  82.4720 305.0252 0012324 330.4277  29.6265 15.30743080 28745,82.472,489.17508315621876,305.0252,330.4277,0.0012324,15.3074308,3
19573,COSMOS 1975,1 19573U 88093A   26027.32880257  .00012818  00000-0  47757-3 0  9998,2 19573  82.5213 159.1654 0010750 320.7517  39.2941 15.27279993 13092,82.5213,498.4613128868779,159.1654,320.7517,0.001075,15.27279993,13
20465,COSMOS 2058,1 20465U 90010A   26027.12965254  .00005490  00000-0  32723-3 0  9996,2 20465  82.4651  88.3700 0011686 113.1720 247.0742 15.10936573935966,82.4651,548.5561702577891,88.37,113.172,0.0011686,15.10936573,42
20510,OKEAN 2,1 20510U 90018A   26027.33808782  .00008057  00000-0  42837-3 0  9999,2 20510  82.4988  12.6712 0008603  79.5269  44.6152 15.15104795932726,82.4988,533.7324651498394,12.6712,79.5269,0.0008603,15.15104795,7
20547,USA 55,1 20547U 90028B   26027.07814957  .00008095  00000-0  17748-3 0  9997,2 20547  94.0928  64.0702 0055483 318.5266  41.1784 15.42468706980125,94.0928,483.7855037184721,64.0702,318.5266,0.0055483,15.42468706,-1
20560,USA 56,1 20560U 90031A   26027.14578566  .00001489  00000-0  20016-3 0  9999,2 20560  89.8551 263.5685 0063403  52.4339 308.2618 14.77402252 91875,89.8551,689.1544467150401,263.5685,52.4339,0.0063403,14.77402252,-1
20562,USA 58,1 20562U 90031C   26027.17589384  .00001386  00000-0  19103-3 0  9995,2 20562  89.8533 265.8606 0065549  85.9601 274.9110 14.76201493 92848,89.8533,694.488847293729,265.8606,85.9601,0.0065549,14.76201493,-1
20580,HST,1 20580U 90037B   26026.91231931  .00011225  00000-0  38166-3 0  9997,2 20580  28.4682 324.8514 0001799  15.4500 344.6150 15.28781740766910,28.4682,487.823692014982,324.8514,15.45,0.0001799,15.2878174,101
20608,MACSAT 2 (M 2),1 20608U 90043B   26027.12742606  .00001632  00000-0  20038-3 0  9995,2 20608  89.7423 249.6588 0080203 316.6423  42.8508 14.80384135917529,89.7423,691.4410872491486,249.6588,316.6423,0.0080203,14.80384135,18
20663,COSMOS 2084,1 20663U 90055A   26026.67766955  .00004619  00000-0  33268-3 0  9998,2 20663  62.7902 118.8371 0023939 181.5629 178.5400 15.05364750929991,62.7902,574.1094601483373,118.8371,181.5629,0.0023939,15.0536475,-1
21397,OKEAN 3,1 21397U 91039A   26027.24767818  .00006040  00000-0  42878-3 0  9996,2 21397  82.5171  16.9803 0015902 108.9822 251.3129 15.04463269858804,82.5171,571.3128648631322,16.9803,108.9822,0.0015902,15.04463269,-1
21422,COSMOS 2151,1 21422U 91042A   26027.32467844  .00003705  00000-0  29605-3 0  9992,2 21422  82.4975 123.5712 0012193 192.5623 167.5299 14.99928041856996,82.4975,582.7238190399157,123.5712,192.5623,0.0012193,14.99928041,-1
22236,COSMOS 2221,1 22236U 92080A   26027.30455829  .00003613  00000-0  31934-3 0  9993,2 22236  82.5063 318.7101 0013895 338.8327  21.2318 14.96014175774601,82.5063,596.0308822056046,318.7101,338.8327,0.0013895,14.96014175,1
22286,COSMOS 2228,1 22286U 92094A   26027.28109055  .00003462  00000-0  29766-3 0  9999,2 22286  82.5175 276.9586 0019651  81.6262 278.7187 14.96991402769861,82.5175,597.0014437750345,276.9586,81.6262,0.0019651,14.96991402,-1
22626,COSMOS 2242,1 22626U 93024A   26027.24581048  .00004174  00000-0  36541-3 0  9993,2 22626  82.5206 306.3490 0018078  84.5684 275.7600 14.96357359774194,82.5206,597.8754199356399,306.349,84.5684,0.0018078,14.96357359,3
23105,STEP 2,1 23105U 94029A   26027.31217936  .00007584  00000-0  73834-3 0  9996,2 23105  81.9404 317.5898 0084457   3.0225 357.1483 14.89701205698900,81.9404,664.9311404838282,317.5898,3.0225,0.0084457,14.89701205,1
23317,OKEAN 4,1 23317U 94066A   26027.07416087  .00004145  00000-0  36044-3 0  9995,2 23317  82.5331  29.7444 0017517  34.5133 325.7223 14.96632802694228,82.5331,596.6301502354844,29.7444,34.5133,0.0017517,14.96632802,14
