Satellite 	COSPAR 	Date 	LS 		Launch Vehicle 	Remarks
Starlink v1.5 G2-1-1 (Starlink 3096) 	2021-082B 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-2 (Starlink 3090) 	2021-082C 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-3 (Starlink 3077) 	2021-082D 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-4 (Starlink 3078) 	2021-082E 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-5 (Starlink 3073) 	2021-082F 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-6 (Starlink 3084) 	2021-082G 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-7 (Starlink 3055) 	2021-082H 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-8 (Starlink 3058) 	2021-082J 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-9 (Starlink 3057) 	2021-082K 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-10 (Starlink 3118) 	2021-082L 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-11 (Starlink 3093) 	2021-082M 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-12 (Starlink 3042) 	2021-082N 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-13 (Starlink 3109) 	2021-082P 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-14 (Starlink 3100) 	2021-082Q 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-15 (Starlink 3119) 	2021-082R 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-16 (Starlink 3116) 	2021-082S 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-17 (Starlink 3071) 	2021-082T 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-18 (Starlink 3048) 	2021-082U 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-19 (Starlink 3053) 	2021-082V 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-20 (Starlink 3104) 	2021-082W 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-21 (Starlink 3102) 	2021-082X 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-22 (Starlink 3081) 	2021-082Y 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-23 (Starlink 3072) 	2021-082Z 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-24 (Starlink 3068) 	2021-082AA 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-25 (Starlink 3060) 	2021-082AB 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-26 (Starlink 3085) 	2021-082AC 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-27 (Starlink 3051) 	2021-082AD 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-28 (Starlink 3083) 	2021-082AE 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-29 (Starlink 3056) 	2021-082AF 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-30 (Starlink 3095) 	2021-082AG 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-31 (Starlink 3080) 	2021-082AH 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-32 (Starlink 3082) 	2021-082AJ 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-33 (Starlink 3088) 	2021-082AK 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-34 (Starlink 3106) 	2021-082AL 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-35 (Starlink 3052) 	2021-082AM 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-36 (Starlink 3089) 	2021-082AN 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-37 (Starlink 3054) 	2021-082AP 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
Starlink v1.5 G2-1-38 (Starlink 3101) 	2021-082AQ 	14.09.2021 	Va SLC-4E 		Falcon-9 v1.2 (Block 5) 	with Starlink v1.5 G2-1-1, …, G2-1-51
